                                  column                                   match                                   label type csv grp show sort srch wdth
                      "WORKSITE_STATE_3"                      "WORKSITE_STATE_3"                      "WORKSITE_STATE_3"  chr   0   0    0    0    0    0
                "WORKSITE_POSTAL_CODE_3"                "WORKSITE_POSTAL_CODE_3"                "WORKSITE_POSTAL_CODE_3"  chr   0   0    0    0    0    0
               "WAGE_RATE_OF_PAY_FROM_3"               "WAGE_RATE_OF_PAY_FROM_3"               "WAGE_RATE_OF_PAY_FROM_3"  chr   0   0    0    0    0    0
                 "WAGE_RATE_OF_PAY_TO_3"                 "WAGE_RATE_OF_PAY_TO_3"                 "WAGE_RATE_OF_PAY_TO_3"  chr   0   0    0    0    0    0
                    "WAGE_UNIT_OF_PAY_3"                    "WAGE_UNIT_OF_PAY_3"                    "WAGE_UNIT_OF_PAY_3"  chr   0   0    0    0    0    0
                     "PREVAILING_WAGE_3"                     "PREVAILING_WAGE_3"                     "PREVAILING_WAGE_3"  chr   0   0    0    0    0    0
                      "PW_UNIT_OF_PAY_3"                      "PW_UNIT_OF_PAY_3"                      "PW_UNIT_OF_PAY_3"  chr   0   0    0    0    0    0
                  "PW_TRACKING_NUMBER_3"                  "PW_TRACKING_NUMBER_3"                  "PW_TRACKING_NUMBER_3"  chr   0   0    0    0    0    0
                       "PW_WAGE_LEVEL_3"                       "PW_WAGE_LEVEL_3"                       "PW_WAGE_LEVEL_3"  chr   0   0    0    0    0    0
                         "PW_OES_YEAR_3"                         "PW_OES_YEAR_3"                         "PW_OES_YEAR_3"  chr   0   0    0    0    0    0
                     "PW_OTHER_SOURCE_3"                     "PW_OTHER_SOURCE_3"                     "PW_OTHER_SOURCE_3"  chr   0   0    0    0    0    0
                     "PW_NON-OES_YEAR_3"                     "PW_NON-OES_YEAR_3"                     "PW_NON-OES_YEAR_3"  num   0   0    0    0    0    0
                 "PW_SURVEY_PUBLISHER_3"                 "PW_SURVEY_PUBLISHER_3"                 "PW_SURVEY_PUBLISHER_3"  num   0   0    0    0    0    0
                      "PW_SURVEY_NAME_3"                      "PW_SURVEY_NAME_3"                      "PW_SURVEY_NAME_3"  chr   0   0    0    0    0    0
                    "WORKSITE_WORKERS_4"                    "WORKSITE_WORKERS_4"                    "WORKSITE_WORKERS_4"  num   0   0    0    0    0    0
                    "SECONDARY_ENTITY_4"                    "SECONDARY_ENTITY_4"                    "SECONDARY_ENTITY_4"  chr   0   0    0    0    0    0
      "SECONDARY_ENTITY_BUSINESS_NAME_4"      "SECONDARY_ENTITY_BUSINESS_NAME_4"      "SECONDARY_ENTITY_BUSINESS_NAME_4"  chr   0   0    0    0    0    0
                   "WORKSITE_ADDRESS1_4"                   "WORKSITE_ADDRESS1_4"                   "WORKSITE_ADDRESS1_4"  chr   0   0    0    0    0    0
                   "WORKSITE_ADDRESS2_4"                   "WORKSITE_ADDRESS2_4"                   "WORKSITE_ADDRESS2_4"  chr   0   0    0    0    0    0
                       "WORKSITE_CITY_4"                       "WORKSITE_CITY_4"                       "WORKSITE_CITY_4"  chr   0   0    0    0    0    0
                     "WORKSITE_COUNTY_4"                     "WORKSITE_COUNTY_4"                     "WORKSITE_COUNTY_4"  chr   0   0    0    0    0    0
                      "WORKSITE_STATE_4"                      "WORKSITE_STATE_4"                      "WORKSITE_STATE_4"  chr   0   0    0    0    0    0
                "WORKSITE_POSTAL_CODE_4"                "WORKSITE_POSTAL_CODE_4"                "WORKSITE_POSTAL_CODE_4"  chr   0   0    0    0    0    0
               "WAGE_RATE_OF_PAY_FROM_4"               "WAGE_RATE_OF_PAY_FROM_4"               "WAGE_RATE_OF_PAY_FROM_4"  num   0   0    0    0    0    0
                 "WAGE_RATE_OF_PAY_TO_4"                 "WAGE_RATE_OF_PAY_TO_4"                 "WAGE_RATE_OF_PAY_TO_4"  num   0   0    0    0    0    0
                    "WAGE_UNIT_OF_PAY_4"                    "WAGE_UNIT_OF_PAY_4"                    "WAGE_UNIT_OF_PAY_4"  log   0   0    0    0    0    0
                     "PREVAILING_WAGE_4"                     "PREVAILING_WAGE_4"                     "PREVAILING_WAGE_4"  num   0   0    0    0    0    0
                      "PW_UNIT_OF_PAY_4"                      "PW_UNIT_OF_PAY_4"                      "PW_UNIT_OF_PAY_4"  log   0   0    0    0    0    0
                  "PW_TRACKING_NUMBER_4"                  "PW_TRACKING_NUMBER_4"                  "PW_TRACKING_NUMBER_4"  chr   0   0    0    0    0    0
                       "PW_WAGE_LEVEL_4"                       "PW_WAGE_LEVEL_4"                       "PW_WAGE_LEVEL_4"  chr   0   0    0    0    0    0
                         "PW_OES_YEAR_4"                         "PW_OES_YEAR_4"                         "PW_OES_YEAR_4"  num   0   0    0    0    0    0
                     "PW_OTHER_SOURCE_4"                     "PW_OTHER_SOURCE_4"                     "PW_OTHER_SOURCE_4"  chr   0   0    0    0    0    0
                     "PW_NON-OES_YEAR_4"                     "PW_NON-OES_YEAR_4"                     "PW_NON-OES_YEAR_4"  num   0   0    0    0    0    0
                 "PW_SURVEY_PUBLISHER_4"                 "PW_SURVEY_PUBLISHER_4"                 "PW_SURVEY_PUBLISHER_4"  num   0   0    0    0    0    0
                      "PW_SURVEY_NAME_4"                      "PW_SURVEY_NAME_4"                      "PW_SURVEY_NAME_4"  chr   0   0    0    0    0    0
                    "WORKSITE_WORKERS_5"                    "WORKSITE_WORKERS_5"                    "WORKSITE_WORKERS_5"  num   0   0    0    0    0    0
                    "SECONDARY_ENTITY_5"                    "SECONDARY_ENTITY_5"                    "SECONDARY_ENTITY_5"  chr   0   0    0    0    0    0
      "SECONDARY_ENTITY_BUSINESS_NAME_5"      "SECONDARY_ENTITY_BUSINESS_NAME_5"      "SECONDARY_ENTITY_BUSINESS_NAME_5"  chr   0   0    0    0    0    0
                   "WORKSITE_ADDRESS1_5"                   "WORKSITE_ADDRESS1_5"                   "WORKSITE_ADDRESS1_5"  chr   0   0    0    0    0    0
                   "WORKSITE_ADDRESS2_5"                   "WORKSITE_ADDRESS2_5"                   "WORKSITE_ADDRESS2_5"  chr   0   0    0    0    0    0
                       "WORKSITE_CITY_5"                       "WORKSITE_CITY_5"                       "WORKSITE_CITY_5"  chr   0   0    0    0    0    0
                     "WORKSITE_COUNTY_5"                     "WORKSITE_COUNTY_5"                     "WORKSITE_COUNTY_5"  chr   0   0    0    0    0    0
                      "WORKSITE_STATE_5"                      "WORKSITE_STATE_5"                      "WORKSITE_STATE_5"  chr   0   0    0    0    0    0
